match_key,bet_type_name,bet_type_id,outcome_short_name,odds
f582c45398a47785,1X2 & Total,30093,X / > 1.5,4.59
f582c45398a47785,1X2 & Total,30093,2 / > 1.5,3.14
f582c45398a47785,1X2 & Total,30093,1 / < 1.5,10.17
f582c45398a47785,1X2 & Total,30093,X / < 1.5,8.45
f582c45398a47785,1X2 & Total,30093,2 / < 1.5,8.6
f582c45398a47785,1X2 & Total,30093,1 / > 2.5,5.69
f582c45398a47785,1X2 & Total,30093,X / > 2.5,16.64
f582c45398a47785,1X2 & Total,30093,2 / > 2.5,4.17
f582c45398a47785,1X2 & Total,30093,1 / < 2.5,6.5
f582c45398a47785,1X2 & Total,30093,X / < 2.5,3.62
f582c45398a47785,1X2 & Total,30093,2 / < 2.5,5.14
f582c45398a47785,1X2 & Total,30093,1 / > 3.5,15.42
f582c45398a47785,1X2 & Total,30093,X / > 3.5,16.64
f582c45398a47785,1X2 & Total,30093,2 / > 3.5,10.4
f582c45398a47785,1X2 & Total,30093,1 / < 3.5,3.78
f582c45398a47785,1X2 & Total,30093,X / < 3.5,3.62
f582c45398a47785,1X2 & Total,30093,2 / < 3.5,2.96
f582c45398a47785,1X2 & G/NG,30094,1 gagne et les deux équipes marquent,6.74
f582c45398a47785,1X2 & G/NG,30094,1 gagne et seulement  1  marque,5.35
f582c45398a47785,1X2 & G/NG,30094,X et les deux équipes marquent,4.5
f582c45398a47785,1X2 & G/NG,30094,X et aucun but,8.3
f582c45398a47785,1X2 & G/NG,30094,2 gagne et les deux équipes marquent,5.28
f582c45398a47785,1X2 & G/NG,30094,2 gagne et seulement 2 marque,3.96
f582c45398a47785,Total equipe domicile,30095,> 0.5,1.41
f582c45398a47785,Total equipe domicile,30095,< 0.5,2.83
f582c45398a47785,Total equipe domicile,30095,> 1.5,3.29
f582c45398a47785,Total equipe domicile,30095,< 1.5,1.32
f582c45398a47785,Total equipe domicile,30095,> 2.5,11.37
f582c45398a47785,Total equipe domicile,30095,< 2.5,1.03
f582c45398a47785,Total equipe domicile,30095,> 3.5,59.31
f582c45398a47785,Total equipe domicile,30095,< 3.5,0.96
f582c45398a47785,Total equipe extérieur,30096,> 0.5,1.3
f582c45398a47785,Total equipe extérieur,30096,< 0.5,3.44
f582c45398a47785,Total equipe extérieur,30096,> 1.5,2.61
f582c45398a47785,Total equipe extérieur,30096,< 1.5,1.48
f582c45398a47785,Total equipe extérieur,30096,> 2.5,7.5
f582c45398a47785,Total equipe extérieur,30096,< 2.5,1.08
f582c45398a47785,Total equipe extérieur,30096,> 3.5,31.94
f582c45398a47785,Total equipe extérieur,30096,< 3.5,0.97
f582c45398a47785,G/NG equipe domicile,30097,Oui,1.41
f582c45398a47785,G/NG equipe domicile,30097,Non,2.83
f582c45398a47785,G/NG equipe extérieur,30098,Oui,1.3
f582c45398a47785,G/NG equipe extérieur,30098,Non,3.44
f582c45398a47785,Pair/Impair,30099,Impair,1.92
f582c45398a47785,Pair/Impair,30099,Pair,1.79
f582c45398a47785,Minute du premier but,30100,1-15,4.98
f582c45398a47785,Minute du premier but,30100,16-30,3.26
f582c45398a47785,Minute du premier but,30100,31-45,5.26
f582c45398a47785,Minute du premier but,30100,46-60,6.9
f582c45398a47785,Minute du premier but,30100,61-75,11.93
f582c45398a47785,Minute du premier but,30100,76-90,13.61
f582c45398a47785,Minute du premier but,30100,Pas de but,8.3
f582c45398a47785,FTTS,30101,1,2.13
f582c45398a47785,FTTS,30101,2,1.89
f582c45398a47785,FTTS,30101,Pas de but,8.3
f582c45398a47785,Multi-Buts,30102,"Le total de buts est de 0, 1 ou 2",1.6
f582c45398a47785,Multi-Buts,30102,"Le total de buts est de 1, 2 ou 3",1.31
f582c45398a47785,Multi-Buts,30102,"Le total de buts est de 2, 3 ou 4",1.44
f582c45398a47785,Multi-Buts,30102,Le total de buts est supérieur à 4,13.51
f582c45398a47785,2ème mi-tps - CS,30105,0-0,3.08
f582c45398a47785,2ème mi-tps - CS,30105,0-1,5.59
f582c45398a47785,2ème mi-tps - CS,30105,0-2,11.56
f582c45398a47785,2ème mi-tps - CS,30105,0-3,35.9
f582c45398a47785,2ème mi-tps - CS,30105,1-0,6.55
f582c45398a47785,2ème mi-tps - CS,30105,1-1,5.28
f582c45398a47785,2ème mi-tps - CS,30105,1-2,16.38
f582c45398a47785,2ème mi-tps - CS,30105,2-0,16.24
f582c45398a47785,2ème mi-tps - CS,30105,2-1,19.62
f582c45398a47785,2ème mi-tps - CS,30105,3-0,60.36
64349a8dc64faba0,1X2,30083,1,2.5
64349a8dc64faba0,1X2,30083,X,3.25
64349a8dc64faba0,1X2,30083,2,2.84
64349a8dc64faba0,Mi-tps 1X2,30084,1,3.4
64349a8dc64faba0,Mi-tps 1X2,30084,X,1.86
64349a8dc64faba0,Mi-tps 1X2,30084,2,4.03
64349a8dc64faba0,Double Chance,30085,1X,1.39
64349a8dc64faba0,Double Chance,30085,X2,1.49
64349a8dc64faba0,Double Chance,30085,12,1.3
64349a8dc64faba0,Mi-tps DC,30086,1X,1.2
64349a8dc64faba0,Mi-tps DC,30086,X2,1.27
64349a8dc64faba0,Mi-tps DC,30086,12,1.84
64349a8dc64faba0,Score exact,30081,0-0,10.26
64349a8dc64faba0,Score exact,30081,0-1,10.78
64349a8dc64faba0,Score exact,30081,0-2,16.46
64349a8dc64faba0,Score exact,30081,0-3,34.4
64349a8dc64faba0,Score exact,30081,0-4,100.0
64349a8dc64faba0,Score exact,30081,0-5,100.0
64349a8dc64faba0,Score exact,30081,0-6,100.0
64349a8dc64faba0,Score exact,30081,1-0,10.01
64349a8dc64faba0,Score exact,30081,1-1,6.42
64349a8dc64faba0,Score exact,30081,1-2,9.97
64349a8dc64faba0,Score exact,30081,1-3,25.49
64349a8dc64faba0,Score exact,30081,1-4,91.99
64349a8dc64faba0,Score exact,30081,1-5,100.0
64349a8dc64faba0,Score exact,30081,2-0,14.17
64349a8dc64faba0,Score exact,30081,2-1,9.22
64349a8dc64faba0,Score exact,30081,2-2,15.0
64349a8dc64faba0,Score exact,30081,2-3,42.45
64349a8dc64faba0,Score exact,30081,2-4,100.0
64349a8dc64faba0,Score exact,30081,3-0,27.4
64349a8dc64faba0,Score exact,30081,3-1,21.65
64349a8dc64faba0,Score exact,30081,3-2,39.02
64349a8dc64faba0,Score exact,30081,3-3,100.0
64349a8dc64faba0,Score exact,30081,4-0,85.16
64349a8dc64faba0,Score exact,30081,4-1,71.5
64349a8dc64faba0,Score exact,30081,4-2,100.0
64349a8dc64faba0,Score exact,30081,5-0,100.0
64349a8dc64faba0,Score exact,30081,5-1,100.0
64349a8dc64faba0,Score exact,30081,6-0,100.0
64349a8dc64faba0,Mi-tps CS,30082,0-0,2.44
64349a8dc64faba0,Mi-tps CS,30082,0-1,6.18
64349a8dc64faba0,Mi-tps CS,30082,0-2,18.51
64349a8dc64faba0,Mi-tps CS,30082,0-3,83.22
64349a8dc64faba0,Mi-tps CS,30082,1-0,5.45
64349a8dc64faba0,Mi-tps CS,30082,1-1,6.12
64349a8dc64faba0,Mi-tps CS,30082,1-2,27.51
64349a8dc64faba0,Mi-tps CS,30082,2-0,14.24
64349a8dc64faba0,Mi-tps CS,30082,2-1,23.99
64349a8dc64faba0,Mi-tps CS,30082,3-0,55.82
64349a8dc64faba0,+/-,30087,> 0.5,1.03
64349a8dc64faba0,+/-,30087,< 0.5,10.84
64349a8dc64faba0,+/-,30087,> 1.5,1.27
64349a8dc64faba0,+/-,30087,< 1.5,3.64
64349a8dc64faba0,+/-,30087,> 2.5,1.95
64349a8dc64faba0,+/-,30087,< 2.5,1.83
64349a8dc64faba0,+/-,30087,> 3.5,3.94
64349a8dc64faba0,+/-,30087,< 3.5,1.24
64349a8dc64faba0,HT/FT,30089,1/1,4.22
64349a8dc64faba0,HT/FT,30089,1/X,21.12
64349a8dc64faba0,HT/FT,30089,1/2,48.17
